poiId,frontImg,title,avgScore,allCommentNum,address,avgPrice
1781719,https://img.meituan.net/600.600/msmerchant/56c7406c2872bb3d65c619099a426f6544206.jpg,花穆兰的院子,5,111,南山区月亮湾大道3008号荷兰花卉小镇L14号,59
194434703,https://img.meituan.net/600.600/msmerchant/fa7dc96a2c5e8af5028b2d17d92db16f378947.jpg,炙酌·居酒屋（南头店）,5,49,南山区南头街1956数字文化创意园,97
781579396,https://img.meituan.net/600.600/msmerchant/69ea6de56a9f1bc7e1e37dfbfcc0d38397053.jpg,煎饼与茶（南山店）,5,70,南山区南山大道2032-13,16
177276971,http://p0.meituan.net/600.600/bbia/7a5df7ff40f0024ffa746128ff0b97d236417.png,麦小青陕面坊（大新店）,4.9,358,南山区前海路3168-31号大新地铁站A出口,28
86498293,http://p1.meituan.net/600.600/bbia/cd55e063d126e36ad04269f955024e2a264809.jpg,乐凯撒·榴莲比萨（欢乐颂购物中心店）,4.9,146,南山区南新路3030号欢乐颂购物中心1层西广场,74
91871271,https://img.meituan.net/600.600/msmerchant/779da746f1456c791d6980998265cda677843.jpg,慕炭东北烤肉·澳洲和牛（大新前海店）,4.8,1209,南山区前海路3168号大新前海商业中心2楼,89
80942402,http://p0.meituan.net/600.600/deal/f5702cf3616dea77aebd2167c2fbc42c32682.jpg,五谷渔粉（前海店）,4.9,1238,南山区南头街道前海路3015前海花园1栋101号FA5,14
102648688,https://img.meituan.net/600.600/msmerchant/0e45d71772c28b9640dc66fbc06ae86637112.jpg,汉正街湖北传统名小吃,4.8,517,南山区桃园路常兴天虹美食城一楼（过锅瘾对面）,20
40921186,http://p1.meituan.net/600.600/deal/0eb3f032ef0f4391c5465f87d665b74b178496.jpg,竞技猫桌游手游馆,4.8,153,南山区金鸡路53号四季丽晶一楼（欢乐颂麦当劳南侧）,41
80321744,http://p0.meituan.net/600.600/mogu/8c6dad18554f90dd5abf8bf15ecb9f3826777.jpg,西域风烧烤主题餐厅（马家龙店）,4.7,133,南山区南头街道马家龙玉泉北路汇金家园B栋一层商场B12,76
75382096,http://p1.meituan.net/600.600/dpdeal/650d5bf7e0387a275941a6505cda9a3743566.jpg,力六水店,4.5,88,南山区南头街道马家龙南龙苑简易房202（中山公园对面）,0
2414832,https://img.meituan.net/600.600/msmerchant/b322c4e051aae11933f074f7d76f48bc75831.jpg,平兴乳鸽王客家菜馆（大新店）,4.7,4364,南山区桃园路170号（大新地铁站A出口东40米）,56
192493444,https://img.meituan.net/600.600/msmerchant/c2654a5350b1c8ef9d434725a8d5d1f799694.jpg,麻辣四海老火锅（桃园店）,4.7,68,南山区桃园路田厦翡翠明珠裙楼3栋A05号铺,100
158376837,https://img.meituan.net/600.600/msmerchant/c8ea13e0203a265102e5e3fd9318d4a32600006.jpg,穆羊人碳烤部落·清真餐厅,4.6,2166,南山区玉泉路79号中山苑设计创意产业基地一楼（玉泉南山路口公交站）,64
5234357,http://p1.meituan.net/600.600/deal/e330045ff6cd0c22256b854e9257773e325698.jpg,川渝人家（艺园路店）,4.8,832,南山区艺园路112-116号,51
179659641,https://img.meituan.net/600.600/msmerchant/c1bd0c81dcb57c6b7b748808404f9575165941.png,老陕厨房（南山店）,4.5,119,南山区南山区红花路137号东方美地苑61号,19
92347,http://p0.meituan.net/600.600/bbia/f6afd98ad0b0e5890ea3e3ded2332eb9184550.jpg,尊宝比萨（南头店）,4.5,7008,南山区深南大道与前海路交汇处东方新地苑C栋12铺（近前海路）,43
163510463,https://img.meituan.net/600.600/msmerchant/1c33ad873f0baa7d3a084720a0ddce8c159884.jpg,樱の料理（常兴店）,4.5,243,南山区桃园路常兴苑（天虹商场东门对面）,66
193282736,https://img.meituan.net/600.600/msmerchant/8191e97f95b1e5a11a122dbc71b14f8312424452.jpg,犬夜叉居酒屋（南山店）,4.5,46,南山区南头街273号,89
188590017,http://p0.meituan.net/600.600/bbia/b7166873ff9a2cb359a82374103c4ba3145489.jpg,AURA,4.5,16,南山区南头街道马家龙社区大新路188号嘉隆公寓大新路182号107-108,18
160063782,http://p0.meituan.net/600.600/bbia/e4f283a0c2a1e4c7cca4c8a1f7e103de320271.jpg,LoveCake御蝶轩生日蛋糕（马家龙店）,4.5,23,南山区大新路马家龙工业区45栋107,0
194638532,http://p0.meituan.net/600.600/bbia/b42bbf6a6689247a4c2eb6358a85510348010.jpg,顺和记牛肉粿条·火锅,4.5,11,南山区南山区南头街道红花园社区关口正街169号1956数字文化创意园8栋107,43
99067773,http://p0.meituan.net/600.600/deal/2ee5be5b8cad5c7a75aae0c69510ff0531880.jpg,重庆水煮活鱼川菜,4.5,13,南山区关口路东方美地苑第一栋21-22号,23
192034212,https://img.meituan.net/600.600/msmerchant/fe9ccd1a1019e5b76f2313de7e24159693718.jpg,今夜铁板烧,4.5,5,南山区南头街100号旺海怡苑4号铺,60
93697299,http://p1.meituan.net/600.600/deal/7feab60d1111e0b59be95f179a41fc3c13634.jpg,大卡司（南新路店）,4.4,443,南山区南新路欢乐颂旁（锦绣园）,15
165616687,https://img.meituan.net/600.600/msmerchant/ce5571e312684924320677d5eb026a28226697.jpg,江汉龙虾馆（南头店）,4.3,103,南山区南头街道玉泉路1-1号,100
601254,https://img.meituan.net/600.600/msmerchant/7d2aac93d059b368d59ca76e8e74af9667454.jpg,联发餐厅,4.4,320,南山区南头街100号旺海怡苑1楼22号,51
60092584,http://p0.meituan.net/600.600/bbia/1664106a988c11a72b4a3d874f28f898259831.jpg,太平洋咖啡（欢乐颂店）,4.4,32,南山区南新路3020号（欢乐颂购物中心1层，近南蓉海鲜大酒楼）,41
610902,http://p0.meituan.net/600.600/deal/dda622d14a11f01db3876edc998c189c242490.jpg,尚甜坊,4.3,575,南山区前海路大新前海商业中心117号,24
616194,http://p1.meituan.net/600.600/poi/ad486fe76e4c64f541c9de72aa04348586016.jpg,客家风味名食,4.3,34,南山区麒麟花园夏轩楼1楼临街,42
91975583,http://p1.meituan.net/600.600/mogu/422397758e3391a66b4418e21c9aff38200448.jpg,木柚咖啡,4.3,17,南山区南山大道2106-3号文体中心一楼,34
194046570,https://img.meituan.net/600.600/msmerchant/f9af2c27cfa98db5a39d04ed0154d7c0793044.jpg,余生·油画体验茶饮艺术生活馆,4.3,8,南山区北环路南龙苑A座107方10183号商铺,30
194936782,https://img.meituan.net/600.600/msmerchant/62bd5560314c4f4bc495b29bf19eb2be94479.jpg,老月浦卤鹅饭店,4.4,29,南山区南山区玉泉路85号,47
5010162,https://img.meituan.net/600.600/msmerchant/3117cfc38224960f7f21343dd3f72fce60600.jpg,十三羊蒙古羊排店（星海店）,4.3,1182,南山区南头街道前海路星海名城二期八组团3栋11商铺（近振业星海名城）,52
610906,https://img.meituan.net/600.600/msmerchant/a5d94e2157d7b21faa84557ecbdb84b75739547.jpg,千味涮（欢乐颂店）,4.2,2146,南山区南新路3020号欢乐颂购物中心4层（南头街口）,67
